Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
1,Чеснок,1172,607,Овощи,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2014-03-04,2022-06-01,1.18:,Sold
2,Пастернак,6916,583,Овощи,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2022-03-07,2029-10-03,0.59:,Sold
3,Каша из дробленного риса,9967,659,Бакалея,Отличается универсальностью применения в кулинарии и пищевой промышленности.,2002-06-06,2027-01-17,1.71:,Delivered
4,Топинамбур,7274,474,Овощи,Может быть использован в выпечке для придания ей особой пышности и аромата.,1996-09-13,2001-06-14,4.29:,Shipping
5,Геркулес,1491,920,Бакалея,Является важным компонентом рациона для поддержания гормонального баланса.,2014-01-01,2018-01-01,4.02:,Pending
6,Куриные ножки,1685,782,Мясо,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",1993-01-01,2028-03-23,1.65:,Refunded
7,Анапская,7492,888,Напитки,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2018-09-04,2021-01-13,2.74:,Sold
8,Редис,713,989,Овощи,Отличается высокой питательностью и способен быстро утолить голод.,2022-06-02,2024-06-11,4.18:,Pending
9,Кокос,1651,437,Фрукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2005-05-05,2029-04-27,2.86:,Awaiting Review
10,Молочный шоколад,2876,523,Бакалея,"Подходит для приготовления как горячих, так и холодных блюд.",2014-02-10,2026-05-02,2.86:,Out of Stock
11,Массандра,3172,852,Напитки,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2018-01-17,2019-03-02,3.23:,Available for Pickup
12,Топлёное молоко,5916,662,Молочные продукты,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2008-01-10,2008-01-18,3.07:,Temporarily Unavailable
13,Яблоко,4453,714,Фрукты,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2012-01-07,2012-02-03,3.72:,Temporarily Unavailable
14,Пастрома,188,611,Мясо,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1999-04-08,2010-01-21,4.71:,Available for Pickup
15,Пепперони,9538,734,Мясо,"Обладает мягким вкусом, который нравится многим потребителям.",2004-01-05,2025-02-20,2.79:,Out of Stock
16,Пакеты для семинара,9762,64,Товары для дома,Помогает поддерживать нормальный уровень гемоглобина в крови.,2020-01-19,2021-05-20,0.02:,Backorder
17,Шелковица,3215,846,Фрукты,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2012-07-08,2028-02-08,1.47:,Cancelled
18,Йогурт,4668,967,Молочные продукты,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",1993-03-24,2026-01-22,1.39:,Out of Stock
19,Орловская,5050,209,Напитки,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2000-02-07,2030-07-01,2.99:,Temporarily Unavailable
