product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Абрикос,9742,591,Фрукты,Отличается низким содержанием насыщенных жиров и холестерина.,2011-01-03,2016-02-04,2.26,Cancelled
2,Майонез,2290,155,Бакалея,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2010-09-15,2030-02-15,1.48,Awaiting Payment
3,Королевская,4600,302,Напитки,Прошел все необходимые сертификации и соответствует международным стандартам.,1991-01-13,2028-02-13,3.89,Shipping
4,Сушеные грибы,9711,311,Бакалея,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,1990-05-11,1998-06-12,0.27,Backorder
5,Растительное масло льняное,4986,800,Бакалея,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",1997-02-03,2004-02-06,4.25,New
6,Кабанятина,2499,70,Мясо,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2008-06-01,2020-07-19,4.16,Available for Pickup
7,Пакеты для заморозки,8174,446,Товары для дома,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2000-03-07,2026-08-08,1.34,Available for Pickup
8,Морковь,9821,951,Овощи,Является важным компонентом рациона для поддержания гормонального баланса.,1997-03-06,2015-01-10,4.09,Awaiting Review
9,Карамбола,6365,436,Фрукты,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2010-04-02,2026-01-04,3.63,Pending
10,Пакеты для Дня Победы,8817,444,Товары для дома,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",1996-08-13,2027-09-03,4.73,Awaiting Review
11,Камамбер,7343,41,Молочные продукты,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2006-07-01,2015-02-15,2.63,Pending
12,Пакеты для Всемирного дня книг,585,215,Товары для дома,Помогает поддерживать нормальный уровень холестерина в крови.,2012-01-01,2025-02-13,1.94,In Stock
13,Севастопольская,9405,515,Напитки,"Обладает мягким вкусом, который нравится многим потребителям.",1994-04-03,2021-03-07,2.04,Returned
14,Косуля,5907,941,Мясо,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2021-09-11,2026-01-03,2.69,Cancelled
15,Брюква,321,317,Овощи,Отличается легкостью в переваривании и усвоении организмом.,2007-01-17,2016-10-02,3.73,Backorder
16,Ванилин,6658,829,Бакалея,Подходит для использования в специализированных диетах и лечебных программах.,2019-02-07,2028-01-10,0.64,Available for Pickup
17,Пакеты для театра,4701,172,Товары для дома,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2009-03-22,2024-01-01,4.62,On Backorder
18,Имбирь молотый,5490,288,Бакалея,Подходит для людей с чувствительным пищеварением.,2010-01-01,2014-02-08,4.82,Returned
19,Крыжовник,1316,210,Фрукты,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2002-04-01,2012-03-11,4.32,Pending
20,Студень,6085,609,Мясо,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",1998-04-01,2030-04-04,3.88,Pending
21,Брокколи,8785,61,Овощи,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2018-01-18,2029-01-03,3.56,Pending
22,Соус соевый,7358,111,Бакалея,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",1997-07-08,2027-02-06,1.08,Cancelled
23,Апельсин,9058,572,Фрукты,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2013-03-01,2028-03-07,3.72,Pending
24,Моющее средство для стекол,5688,652,Товары для дома,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2020-10-01,2021-01-24,2.28,Backorder
25,Кофе молотый,7586,898,Бакалея,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",1993-03-07,1996-01-19,2.88,Temporarily Unavailable
26,Сидр яблочный,1388,367,Напитки,Прошел сертификацию на соответствие требованиям органических стандартов.,1992-06-05,2022-06-02,4.31,Cancelled
